Project Type,Project Scope Complexity,Project Location,Technical Feasibility,Financial Feasibility,Bid Bond or Guarantee,Contract Terms,Project Timeline Months,Project Budget,Relevant Experience,Internal Resources Available,Subcontractors Work,Partner or Joint Venture,Regulatory Issues,Risk Level,Outcome of Risks,Market Demand,Client Reliability,Strategic Alignment,Long Term Impact,Initial Go NoGo Decision
"Roads, Highways, and Bridges Construction",Low,Qassim,Challenging,Challenging,Yes,Neutral,24 - 36 Months,Above 2 Billion,Yes,Yes,Yes,Yes,Major,High,Mitigated,Medium,High,Medium,Low,Go
"Roads, Highways, and Bridges Construction",Low,Medina,Challenging,Challenging,Yes,Neutral,12 - 24 Months,Above 2 Billion,Yes,Yes,No,Yes,Major,Medium,Mitigated,Low,Low,High,Low,Go
Design and Build,Low,Dammam,Challenging,Feasible,Yes,Neutral,12 - 24 Months,150 - 200 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,Medium,Medium,High,High,Go
Design and Build,Low,Riyadh,Challenging,Unfeasible,Yes,Unfavorable,36 - 48 Months,Above 2 Billion,No,No,Yes,Yes,Minor,Medium,Unmitigated,Low,Medium,Medium,Medium,NoGo
Construction Materials,Low,Medina,Challenging,Feasible,Yes,Neutral,12 - 24 Months,200 - 300 Million,Yes,Yes,No,No,Major,Medium,Mitigated,Medium,Medium,Medium,Low,Go
Drainage and Stormwater Construction,Low,Dammam,Challenging,Feasible,Yes,Neutral,12 - 24 Months,10 - 50 Millions,Yes,Yes,Yes,No,None,Medium,Mitigated,High,Low,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Riyadh,Challenging,Feasible,Yes,Neutral,6 - 12 Months,Less than 10 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,Medium,Medium,High,High,Go
Drainage and Stormwater Construction,Low,Medina,Challenging,Feasible,Yes,Neutral,6 - 12 Months,150 - 200 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,Medium,Medium,Low,High,Go
"Roads, Highways, and Bridges Construction",Low,Riyadh,Challenging,Unfeasible,Yes,Unfavorable,12 - 24 Months,Above 2 Billion,No,No,Yes,Yes,Minor,High,Unmitigated,Low,High,Low,High,NoGo
"Roads, Highways, and Bridges Construction",Low,Medina,Challenging,Feasible,Yes,Neutral,24 - 36 Months,150 - 200 Million,Yes,Yes,No,No,Major,Medium,Mitigated,Low,High,Low,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Medina,Challenging,Challenging,Yes,Neutral,24 - 36 Months,Above 2 Billion,Yes,Yes,No,Yes,Minor,Medium,Mitigated,Low,High,Medium,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Riyadh,Challenging,Feasible,Yes,Neutral,12 - 24 Months,300 - 400 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,High,Medium,Low,Go
"Roads, Highways, and Bridges Construction",Low,Medina,Challenging,Feasible,Yes,Neutral,24 - 36 Months,200 - 300 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,Medium,Medium,Low,Low,Go
Infrastructure Development,Low,Dammam,Challenging,Feasible,Yes,Neutral,6 - 12 Months,150 - 200 Million,Yes,Yes,Yes,No,Major,Medium,Mitigated,Medium,High,Low,High,Go
"Roads, Highways, and Bridges Construction",Low,Dammam,Challenging,Challenging,Yes,Neutral,24 - 36 Months,Above 2 Billion,Yes,Yes,No,Yes,Minor,Medium,Mitigated,Medium,Medium,High,Low,Go
Infrastructure Development,Low,Dammam,Challenging,Feasible,Yes,Neutral,6 - 12 Months,10 - 50 Millions,Yes,Yes,No,No,None,Low,Mitigated,Medium,High,High,Medium,Go
Infrastructure Development,Low,Riyadh,Challenging,Feasible,Yes,Neutral,6 - 12 Months,100 - 150 Million,Yes,Yes,Yes,No,Minor,Medium,Mitigated,Low,Low,Low,Medium,Go
Infrastructure Development,Low,Dammam,Challenging,Challenging,Yes,Neutral,12 - 24 Months,800 - 900 Million,Yes,Yes,No,No,None,Low,Mitigated,High,Medium,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Dammam,Challenging,Challenging,Yes,Neutral,24 - 36 Months,900 - 1000 Million,Yes,Yes,Yes,Yes,Major,Low,Mitigated,High,Low,High,Low,Go
Infrastructure Development,Low,Dammam,Challenging,Challenging,Yes,Neutral,24 - 36 Months,900 - 1000 Million,Yes,No,No,Yes,None,High,Mitigated,High,Medium,High,Low,Go
"Roads, Highways, and Bridges Construction",Low,Riyadh,Challenging,Feasible,Yes,Neutral,24 - 36 Months,200 - 300 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,Low,High,High,Go
"Roads, Highways, and Bridges Construction",Medium,Medina,Feasible,Challenging,No,Neutral,24 - 36 Months,Above 2 Billion,No,Yes,No,Yes,None,Medium,Unmitigated,High,High,High,Medium,Go
"Roads, Highways, and Bridges Construction",Medium,Abha,Feasible,Feasible,No,Neutral,24 - 36 Months,50 - 100 Million,No,Yes,No,No,None,Low,Unmitigated,Low,High,High,High,Go
Drainage and Stormwater Construction,Medium,Qassim,Feasible,Challenging,Yes,Neutral,24 - 36 Months,800 - 900 Million,No,Yes,No,No,None,Low,Unmitigated,High,High,High,High,Go
Drainage and Stormwater Construction,Medium,Riyadh,Feasible,Feasible,No,Neutral,12 - 24 Months,300 - 400 Million,Yes,Yes,No,No,None,Low,Unmitigated,Medium,High,High,High,Go
"Roads, Highways, and Bridges Construction",Medium,Dammam,Feasible,Feasible,No,Neutral,12 - 24 Months,100 - 150 Million,Yes,Yes,Yes,No,None,Low,Unmitigated,High,High,High,Medium,Go
"Roads, Highways, and Bridges Construction",Medium,Medina,Feasible,Feasible,No,Neutral,Above  48 Months,Above 2 Billion,No,Yes,Yes,Yes,None,Medium,Unmitigated,High,High,High,Medium,Go
Drainage and Stormwater Construction,Medium,Qassim,Feasible,Challenging,Yes,Neutral,24 - 36 Months,800 - 900 Million,No,Yes,Yes,No,None,Low,Unmitigated,High,High,High,High,Go
Drainage and Stormwater Construction,Medium,Riyadh,Feasible,Feasible,No,Neutral,12 - 24 Months,300 - 400 Million,Yes,Yes,No,No,None,Low,Unmitigated,Medium,High,High,High,Go
"Roads, Highways, and Bridges Construction",Medium,Dammam,Feasible,Feasible,No,Neutral,12 - 24 Months,100 - 150 Million,Yes,Yes,Yes,No,None,Low,Unmitigated,High,High,High,Medium,Go
"Roads, Highways, and Bridges Construction",Medium,Medina,Feasible,Challenging,No,Neutral,24 - 36 Months,Above 2 Billion,No,Yes,Yes,Yes,None,Medium,Unmitigated,High,High,High,Medium,Go
Design and Build,High ,Tabuk,Unfeasible,Unfeasible,No,Unfavorable,24 - 36 Months,Above 2 Billion,No,No,Yes,Yes,Minor,High,Mitigated,High,Medium,Medium,Low,NoGo
Construction Materials,Medium,Medina,Challenging,Feasible,No,Neutral,24 - 36 Months,100 - 150 Million,Yes,Yes,No,No,Minor,Low,Mitigated,Medium,High,High,High,Go
Construction Materials,Medium,Qassim,Challenging,Feasible,No,Neutral,Less than 6  Months,10 - 50 Millions,Yes,Yes,No,No,Minor,Medium,Mitigated,Medium,Medium,Medium,High,Go
Buildings Construction,Medium,Riyadh,Feasible,Feasible,No,Neutral,12 - 24 Months,150 - 200 Million,Yes,Yes,No,No,Minor,Medium,Unmitigated,Medium,High,Low,High,Go
"Roads, Highways, and Bridges Construction",Medium,Riyadh,Feasible,Unfeasible,No,Neutral,6 - 12 Months,50 - 100 Million,Yes,No,Yes,No,Major,High,Mitigated,Medium,Low,Medium,Medium,NoGo
